Pos x [mm];Pos y [mm];Pos z [mm];Volume [mm³];Equivalent diameter [mm];Surface [mm²];Sphericity;Compactness;PCA 1 x [mm];PCA 1 y [mm];PCA 1 z [mm];PCA 2 x [mm];PCA 2 y [mm];PCA 2 z [mm];PCA 3 x [mm];PCA 3 y [mm];PCA 3 z [mm];PCA deviation 1 [mm];PCA deviation 2 [mm];PCA deviation 3 [mm];PCA min deviation ratio [%];PCA max deviation ratio [%];Projected area x [mm²];Projected area y [mm²];Projected area z [mm²];Projected size x [mm];Projected size y [mm];Projected size z [mm]
14.8722591;13.7892933;-3.6155300;75.6296082;5.2468390;152.6902161;0.57;0.39;-0.0514179;-1.4423822;0.5683524;-0.9940695;0.2549910;0.5571922;-0.4863965;-0.2750028;-0.7419139;1.5511720;1.1677575;0.9287865;25.8798093;43.2220310;25.4083710;20.1562080;26.8082848;4.9998398;6.5997849;5.1998329
2.1156292;12.2292709;7.6110888;73.4695663;5.1964045;184.9281464;0.46;0.29;-1.5124731;-0.1050499;0.4506781;-0.0619601;-1.0644772;-0.4560602;0.2967500;-0.4036389;0.9018059;1.5816830;1.1597161;1.0316195;26.2591988;40.2607024;23.8934689;27.9257107;28.8306541;6.4497948;5.8498154;5.9498081
5.2497883;6.4092598;-4.4047794;72.9441147;5.1839867;147.8405304;0.57;0.55;-0.7238349;-1.0222720;0.4873138;0.9564089;-0.5918713;0.1789990;0.0729541;0.4121166;0.9728885;1.3440431;1.1388899;1.0590913;33.3981156;42.3839778;22.4235630;22.5285568;24.8759079;5.5498238;6.0498066;5.3998260
8.6097546;-0.4598007;-5.7655077;70.8040695;5.1327863;143.6358032;0.58;0.42;-0.0894399;0.0085110;1.4658923;0.7977542;0.8402385;0.0437957;-0.6674562;0.6360233;-0.0444169;1.4686431;1.1594527;0.9230365;27.0154536;42.9842770;25.0958920;24.9509010;18.6363068;4.8998432;5.0998354;6.6997843
-9.6453800;6.3431873;4.2750483;70.7008286;5.1302905;147.9804993;0.56;0.53;0.6917158;0.0390013;-1.0997036;-0.8401526;0.6810715;-0.5043033;-0.4770460;-0.8325176;-0.3295884;1.2997460;1.1933300;1.0145377;32.0498914;41.0598010;23.3435040;24.5309277;22.1585808;5.8498130;5.1498356;6.0498066
-13.4833326;-10.1701584;7.8947916;70.1793823;5.1176467;149.0454407;0.55;0.43;-0.1808710;-0.7734380;1.1976053;-0.5641737;-0.7538517;-0.5720585;-0.8389670;0.4858964;0.1870950;1.4370730;1.1017419;0.9874033;29.0556818;42.2878206;25.1083908;23.9984608;20.4436913;4.9998403;5.6998172;6.4997921
-11.8689899;9.6563053;2.0331964;70.1017609;5.1157594;144.5157318;0.57;0.54;0.1631040;-1.1273670;0.6278647;-0.9902462;0.1649607;0.5534384;-0.5132906;-0.5023598;-0.7686753;1.3006819;1.1463392;1.0519954;33.5135639;41.4360017;23.0785198;21.5811157;22.9160328;5.4498248;5.9998055;5.3498287
-5.3578691;6.5818615;-2.9847956;69.2083511;5.0939341;140.9359589;0.58;0.54;-0.4681233;-1.1341618;0.3344907;-0.1388556;-0.2594515;-1.0740551;-0.9977059;0.4199255;0.0275467;1.2717494;1.1136384;1.0828265;34.6451849;40.6897962;23.3485031;21.0611496;22.6085529;5.4498253;5.8998108;5.2498302
-1.8765316;6.0175724;-5.9243021;69.1697235;5.0929861;143.3208160;0.57;0.37;-0.5399379;-0.6288553;1.1395705;-0.0896177;-0.9257118;-0.5533022;-0.9343876;0.2670059;-0.2953772;1.4091178;1.0821816;1.0156870;28.6299258;39.7198558;24.1534519;22.4560604;20.7486725;5.0498390;5.4998245;6.0998044
-6.8947830;2.8506870;0.4683018;67.3635254;5.0482640;138.1311493;0.58;0.55;-0.9867433;-0.0035835;0.9135022;-0.3751164;0.9662544;-0.4014014;-0.5901943;-0.4947658;-0.6394547;1.3446789;1.1115228;1.0010120;32.4299455;43.5637832;21.6736107;22.6960449;21.0236549;5.5998211;4.7498474;5.5498219
