Pos x [mm];Pos y [mm];Pos z [mm];Volume [mm³];Equivalent diameter [mm];Surface [mm²];Sphericity;Compactness;PCA 1 x [mm];PCA 1 y [mm];PCA 1 z [mm];PCA 2 x [mm];PCA 2 y [mm];PCA 2 z [mm];PCA 3 x [mm];PCA 3 y [mm];PCA 3 z [mm];PCA deviation 1 [mm];PCA deviation 2 [mm];PCA deviation 3 [mm];PCA min deviation ratio [%];PCA max deviation ratio [%];Projected area x [mm²];Projected area y [mm²];Projected area z [mm²];Projected size x [mm];Projected size y [mm];Projected size z [mm]
8.8027649;-2.5543594;-12.4700928;66.7507019;5.0329089;137.6061707;0.58;0.51;-1.1006466;0.1532439;-0.6048855;0.5440361;0.6240422;-0.8318284;0.1742040;-0.8672721;-0.5366986;1.2652246;1.1736023;1.0346755;32.9247385;40.2611136;20.0687141;23.0835190;21.7786045;5.6498184;4.9498405;5.5498219
0.2209816;-5.3837757;5.9623041;66.0397720;5.0149775;141.9508972;0.56;0.38;-0.4684618;1.1336437;0.7964534;-0.3732710;-0.6558561;0.7139702;-0.8622366;-0.0240688;-0.4728959;1.4625124;1.0388609;0.9836980;28.3851773;42.2016472;24.2709446;19.8837242;22.1710796;4.8998432;5.8498116;5.5498199
8.4008560;1.0566254;-11.2087107;65.0712357;4.9903402;134.2913818;0.58;0.52;1.2322698;-0.3089889;0.3595675;0.2853433;-0.1998620;-1.1496452;0.2491883;0.8864264;-0.0922535;1.3203225;1.2012701;0.9253958;29.8569411;42.5988466;18.9087887;24.5059261;19.9587212;5.6998177;4.4498558;5.3998265
4.9428101;-14.3655615;10.1308413;65.0293655;4.9892697;139.1360779;0.56;0.30;-0.5116539;0.9966068;1.0866113;-0.4217724;-0.8136449;0.5476499;-0.7471042;0.0930521;-0.4371344;1.5606854;1.0676284;0.8705802;23.2960701;41.7627662;26.1183262;19.1962681;20.0887127;4.5498543;5.8998108;5.8998108
5.1339607;-7.6173410;-9.6812115;63.0130615;4.9371614;128.3867645;0.60;0.51;0.9917837;0.0365981;0.8281330;-0.7470630;0.2514284;0.8835817;0.1052613;0.8947330;-0.1656038;1.2925860;1.1840760;0.9159977;29.6491176;41.8385744;18.5388107;24.1309509;17.7538624;5.5498219;4.0498695;5.6498184
8.6655827;5.0201225;-5.8888063;61.9934082;4.9103861;126.3568878;0.60;0.38;1.0455308;-0.3878024;0.7743505;0.5942007;-0.1913568;-0.8981252;-0.3126873;-0.8812021;-0.0191232;1.3576244;1.0937644;0.9352306;27.6859909;40.1902765;18.7312984;22.5710506;18.9862823;5.4498253;4.5498543;4.9998398
12.9431477;8.9634209;-12.5913315;61.9477882;4.9091811;129.8166656;0.58;0.47;0.4400276;-0.6141743;1.1775808;-0.2332259;-0.9574527;-0.4122154;-0.8444068;0.0570355;0.3452774;1.3991179;1.0681908;0.9140528;28.9413333;44.2997843;23.1060181;19.8062286;17.9513493;4.5998516;5.1998310;5.9998078
8.7918472;0.8957157;-2.8169498;61.8520470;4.9066505;127.5668182;0.59;0.58;-0.9523108;0.7427168;-0.0190061;-0.1777634;-0.2007088;1.0636692;-0.6131835;-0.7926732;-0.2520502;1.2078432;1.0969393;1.0333703;35.1648837;41.1020786;19.3887577;20.6186771;20.7486706;5.3998260;5.0998363;5.0498371
7.7803440;9.4011040;4.0401354;61.4394608;4.8957167;132.0465240;0.57;0.38;-0.9861305;0.1300815;1.1390785;0.7124799;-0.4220151;0.6650065;-0.3100975;-0.8022075;-0.1768485;1.5122416;1.0620537;0.8780505;25.8700371;44.5552349;19.8137302;24.1584492;19.1987686;5.6998177;4.1998672;5.8998108
8.0445957;-6.3929033;-12.5934992;61.2038612;4.8894506;127.6568146;0.59;0.37;1.1323876;-0.5146511;0.7183331;-0.6289690;-0.6009601;0.5609543;0.0901467;-0.6852875;-0.6330836;1.4363739;1.0350965;0.9373049;27.4710298;42.0980126;17.4663811;21.8835945;21.0661488;5.3998260;4.7998447;5.3998270
